职位名称,标签,城市,薪资,工作年限,学位要求,工作要求,公司名称,公司类型,人数,Logo,发布时间
Android/安卓开发工程师,"3-4年,本科",江苏省常州,6千-1.2万,3-4年,本科,https://jobs.51job.com/changzhou/152050927.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,北京韵盈科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-27 04:14:15
Android驱动开发工程师,"2年,本科,驱动,人脸,指纹,充电,BSP,五险一金,弹性工作,绩效奖金,定期体检",深圳深圳南山区,1.5-2.5万,2年,本科,https://jobs.51job.com/shenzhen-nsq/141459642.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,诚迈科技（南京）股份有限公司,外资（欧美）,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-29 04:00:49
Android开发工程师（杭州）,"5-7年,本科,餐饮补贴,年终奖金,定期体检,员工旅游,绩效奖金,五险一金,免费班车",浙江省杭州临平区,1.3-2.5万·14薪,5-7年,本科,https://jobs.51job.com/hangzhou-lpq/150236935.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,浙江健拓医疗仪器科技有限公司,民营,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_04_small.png,2023-11-29 04:00:18
Android开发工程师（汽车语音系统）,"3-4年,本科,汽车Android,Java,汽车语音产品,补充医疗保险,专业培训,年终奖金,定期体检,周末双休,法定节假日,节日福利,六险一金",上海上海嘉定区,2-2.4万·13薪,3-4年,本科,https://jobs.51job.com/shanghai-jdq/152250632.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,Alten China Limited,外资（欧美）,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/19/18188/18187629/58aae3b18f77288dc49ed0dc8f4d4103_small.jpg?1661474411,2023-11-29 04:00:18
Android开发工程师,"3-4年,本科",上海上海浦东新区,1.2-2万,3-4年,本科,https://jobs.51job.com/shanghai-pdxq/151989379.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,上海匠心互娱网络科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_006_small.png,2023-11-24 04:18:02
Android系统Framework工程师,"2年,本科,java,c++,wms,pms,ams,系统源码,五险,节日福利,年终奖金",广东省广州番禺区,1.5-2.2万,2年,本科,https://jobs.51job.com/guangzhou-pyq/148704534.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,广州市定昌电子有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/5/4041/4040388/bb5e1c3d10b93b696cc9dcc7714be4de_small.gif?1621646349,2023-11-29 09:17:09
Android驱动工程师,"2年,本科,软件,android,五险一金,企业年金,误餐补助,职称津贴,带薪年假",深圳深圳,25-30万/年,2年,本科,https://jobs.51job.com/shenzhen/150842218.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,天地（常州）自动化股份有限公司,国企,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_004_small.png,2023-11-29 04:00:18
Android（安卓）/APP开发工程师,"2年,本科,五险一金,交通补贴,餐饮补贴,绩效奖金,年终奖金,通讯补贴",上海上海浦东新区,1-2万,2年,本科,https://jobs.51job.com/shanghai-pdxq/89021543.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,上海北辰软件股份有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:34:07
android开发工程师 安卓开发工程师,"1年,大专,android开发,工程师,安卓开发,工程师,APP软件开发,五险一金,通讯补贴,员工旅游,年终奖金",深圳深圳龙岗区,1.5-2万,1年,大专,https://jobs.51job.com/shenzhen-lgq/129027366.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,深圳市恒星智科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-29 04:00:33
Android,"3-4年,大专",江苏省南京江宁区,1-2万,3-4年,大专,https://jobs.51job.com/nanjing-jnq/152160182.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,北京爱可生信息技术股份有限公司,已上市,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-26 04:00:51
Android,"3-4年,本科",四川省成都高新区,1-1.8万,3-4年,本科,https://jobs.51job.com/chengdu-gxq/152199022.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,成都武侯融华口腔诊所有限公司,民营,少于50人,,2023-11-28 04:00:49
Android,"3-4年,本科,补充医疗保险,五险一金,专业培训,定期体检",四川省成都高新区,1-1.8万,3-4年,本科,https://jobs.51job.com/chengdu-gxq/152182072.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,盛世创客（成都）科技有限公司,民营,少于50人,,2023-11-27 04:00:47
Android系统开发工程师,"3-4年,本科,android,安卓开发,软件开发",重庆重庆江北区,0.8-1万,3-4年,本科,https://jobs.51job.com/chongqing-jbq/137336761.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,重庆渝宣科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_005_small.png,2023-11-29 10:15:35
Android应用开发工程师(J10257),"2年,本科,软件开发,android,mtk,android开发,rk,研发,五险一金,免费班车,定期体检",深圳深圳,1-1.5万,2年,本科,https://jobs.51job.com/shenzhen/148647744.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,深圳市康冠科技股份有限公司,已上市,5000-10000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 10:40:57
Android应用工程师,"3-4年,本科,bug修复,oppo,android,java,网络优化,性能优化,androidui,多线程,kotlin,网络编程,五险一金,年终奖金,节日福利,绩效奖金,员工旅游,定期体检,健身房,班车",四川省成都,1.5-1.8万,3-4年,本科,https://jobs.51job.com/chengdu/151065670.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,德科信息有限公司,民营,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_006_small.png,2023-11-29 09:09:39
Android研发工程师,"2年,本科,java,Android,五险一金,员工旅游,绩效奖金",上海上海闵行区,1-1.6万,2年,本科,https://jobs.51job.com/shanghai-mhq/143173378.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,上海寰创通信科技股份有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 13:25:16
Android开发工程师,"2年,本科,安卓开发,做五休二,五险一金,补充医疗保险,通讯补贴,年终奖金,定期体检",湖北省武汉江岸区,15-25万/年,2年,本科,https://jobs.51job.com/wuhan-jaq/136197131.html?s=sou_sou_soulb&t=0_0&req=6bc2cf1eff28a7c8e00b06153be9a5e9,苏州广立信息技术有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_006_small.png,2023-11-29 09:47:41
Android系统开发工程师,"3-4年,本科,c++,android,系统架构,做五休二,弹性工作,带薪年假,节日福利,五险一金,员工旅游,年终奖金,周末双休",上海上海浦东新区,2-3.5万·13薪,3-4年,本科,https://jobs.51job.com/shanghai-pdxq/151016492.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海畅联智融通讯科技有限公司,外资（非欧美）,150-500人,http://img01.51jobcdn.com/imehire/userportrait/14/13309/13308158/5206a9281c6c6baafc334f90743c456a_small.gif?1614766120,2023-11-29 04:00:33
Android软件开发工程师,"3-4年,本科,需求分析,软件开发,编程,设计模式,android,风险管理,性能调优,车载系统,车机系统,多媒体,五险一金,年终奖金,绩效奖金",安徽省合肥,9千-1.8万,3-4年,本科,https://jobs.51job.com/hefei/152231413.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,武汉万科祥盈管理服务有限公司,已上市,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 09:41:12
Android/JAVA开发工程师,"2年,本科,计算机,数据库,需求分析,开发,英语,代码编写,android,调优,安卓开发,技术验证,五险一金,年终奖金,餐饮补贴,专业培训,补充医疗保险",上海上海浦东新区张江,1.5-2.5万·13薪,2年,本科,https://jobs.51job.com/shanghai-pdxq/152244233.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,才纵（上海）工程技术有限公司,外资（欧美）,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:30:54
Android/安卓开发工程师,"2年,本科,需求分析,开发,调试,mvc,app,设计模式,android,http协议,调优,mvvm",江苏省常州新北区,8千-1.5万,2年,本科,https://jobs.51job.com/changzhou-xbq/152187222.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,北京韵盈科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-28 04:00:49
Android驱动工程师,"1年,本科,java,多线程,framework,五险一金,员工旅游",深圳深圳龙岗区,1.5-2.5万,1年,本科,https://jobs.51job.com/shenzhen-lgq/140210933.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳市安之眼科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 04:00:33
Android安卓开发工程师,"3-4年,本科,java,app,android,ui设计,计算机科学,需求确认,接口设计,布局,测试用例评审,androidsdk,五险一金,补充医疗保险,补充公积金,餐饮补贴,股票期权,年终奖金",深圳深圳南山区,2-3万·15薪,3-4年,本科,https://jobs.51job.com/shenzhen-nsq/152144196.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,恒玄科技（上海）股份有限公司,已上市,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_06_small.png,2023-11-26 04:00:51
Android Freamwork工程师,"2年,本科,android,中间件,service,通信设备,架构设计,五险一金,员工旅游,专业培训,年终奖金,弹性工作",上海上海黄浦区,1.5-3万,2年,本科,https://jobs.51job.com/shanghai-hpq/150671330.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海量栀通信技术有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 11:59:21
Android开发工程师,"3-4年,本科,android,安卓,android开发,五险一金,定期体检,电脑补贴",广东省广州天河区,1.4-1.6万,3-4年,本科,https://jobs.51job.com/guangzhou-thq/125923188.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,广东阿尔创通信技术股份有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 17:04:27
Android开发工程师,"3-4年,本科,计算机,java,linux,软件工程,数据结构,app,设计模式,项目开发,xml,鸿蒙开发,五险一金,补充医疗保险,餐饮补贴,员工旅游,专业培训,弹性工作,定期体检,年终奖金,绩效奖金",上海上海闵行区浦江镇,1.2-2.2万,3-4年,本科,https://jobs.51job.com/shanghai-mhq/152263202.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,江苏嘉则信息技术有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-29 11:35:24
Android安卓开发,"3-4年,本科,移动应用,安卓,Android,安卓开发,android开发,软件工程师,工程师,开发,android,五险一金,员工旅游,绩效奖金,年终奖金,专业培训",江苏省南京,1.4-1.6万,3-4年,本科,https://jobs.51job.com/nanjing/108613361.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,江苏南大电子信息技术股份有限公司,合资,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 04:00:33
Android/安卓开发工程师,"1年,本科",天津天津,1-1.2万,1年,本科,https://jobs.51job.com/tianjin/152238710.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,天津榕根物联科技有限公司,民营,少于50人,,2023-11-29 04:20:29
Android/安卓开发工程师,"2年,本科,android,java,c#,web,蓝牙,设计模式,串口通讯,软件开发,调试,编程",江苏省常州,8千-1.5万,2年,本科,https://jobs.51job.com/changzhou/149097478.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,常州市新瑞得仪器有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-28 13:08:28
Android/安卓开发工程师,"3-4年,本科,五险一金,生日福利,节日福利",浙江省杭州余杭区,9千-1.4万,3-4年,本科,https://jobs.51job.com/hangzhou-yhq/152231477.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,杭州盈创动力科技有限公司,民营,少于50人,,2023-11-29 04:00:18
Android Linux驱动开发工程师,"5-7年,本科,android,linux,驱动开发,展锐,高通,外设驱动,员工旅游,节日福利,工作餐,五险,年终奖金,专业培训",深圳深圳福田区,2-3.5万,5-7年,本科,https://jobs.51job.com/shenzhen-ftq/149675429.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳市鼎泰富科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-28 16:25:44
Android开发工程师,"3-4年,本科,计算机,java,电子,c++,wifi,androidapp,framework,高通平台,阅读英文文档,平台功能开发,五险一金,绩效奖金,年终奖金,定期体检,专业培训",深圳深圳龙华区,1.5-3万,3-4年,本科,https://jobs.51job.com/shenzhen-lhq/152058935.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳市中诺通讯有限公司,国企,10000人以上,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-29 10:16:25
Android应用（安卓应用）开发工程师,"2年,本科,android,安卓,应用,开发工程师,MMI,五险一金,交通补贴,餐饮补贴,员工旅游,通讯补贴,绩效奖金,年终奖金,定期体检,专业培训,股票期权",上海上海闵行区浦江镇,1-2万,2年,本科,https://jobs.51job.com/shanghai-mhq/132851212.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海隽梦智能科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 13:01:59
Android/安卓开发工程师,"3-4年,本科,java,数据库,开发,网络,android,国家法定假,股权激励,五险一金,员工旅游,专业培训,绩效奖金,年终奖金,通讯补贴",深圳深圳宝安区西乡,1.2-2万,3-4年,本科,https://jobs.51job.com/shenzhen-baq/152254626.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳市东峰盛科技有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 04:00:18
Android/安卓开发工程师,"2年,本科,计算机,数据库,需求分析,开发,英语,代码编写,android,调优,安卓开发,技术验证,五险一金,年终奖金,餐饮补贴,专业培训,补充医疗保险",上海上海浦东新区张江,1.5-2.5万·13薪,2年,本科,https://jobs.51job.com/shanghai-pdxq/152218417.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,才纵（上海）工程技术有限公司,外资（欧美）,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:30:54
Android安卓开发工程师,"3-4年,本科,java,kotlin,五险一金,专业培训,年终奖金,绩效奖金,弹性工作,交通补贴",上海上海嘉定区,1.5-2.5万,3-4年,本科,https://jobs.51job.com/shanghai-jdq/142222896.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海荣灿信息科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_07_small.png,2023-11-29 10:18:49
Android软件工程师,"5-7年,本科,计算机,java,需求分析,开发,编程,app,android,架构设计,蓝牙通信,做五休二,带薪年假,五险一金,绩效奖金,节日福利,交通补贴,餐饮补贴",上海上海嘉定区,1.5-2.5万·14薪,5-7年,本科,https://jobs.51job.com/shanghai-jdq/151287572.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海司南卫星导航技术股份有限公司,已上市,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 09:29:59
Android工程师,"5-7年,本科,java,单元测试,android,编码,需求设计,kotlin,线程池,rxjava,内存优化,五险一金,年终奖金,弹性工作,节日福利",四川省成都高新区,1.5-2.5万,5-7年,本科,https://jobs.51job.com/chengdu-gxq/152262899.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,东莞市猎声电子科技有限公司,民营,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/19/18369/18368381/1676002109240_small.png?1676002109,2023-11-29 15:06:59
Android应用工程师,"2年,本科,软件,android,五险一金,企业年金,误餐补助,职称津贴,带薪年假",深圳深圳,25-30万/年,2年,本科,https://jobs.51job.com/shenzhen/150842209.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,天地（常州）自动化股份有限公司,国企,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_004_small.png,2023-11-29 04:00:18
Android/安卓开发工程师,"3-4年,大专,需求分析,软件开发,编程,设计模式,android,http,tcp,风险管理,软件设计,性能调优,五险一金,补充医疗保险,餐饮补贴,年终奖金,专业培训",安徽省合肥,1.2-1.6万,3-4年,大专,https://jobs.51job.com/hefei/152253806.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳万科祥盈管理服务有限公司,民营,,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 09:41:12
智能家居Android应用软件开发工程师,"5-7年,本科,android,智能家居,安卓开发,安卓,八险一金,绩效奖金,年终奖金,补充医疗保险,出国机会,员工旅游,透明上升空间,弹性工作,专业培训,定期体检",辽宁省大连高新园区,15-20万/年,5-7年,本科,https://jobs.51job.com/dalian-gxyq/131224435.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,松下电器软件开发（大连）有限公司,外资（非欧美）,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_06_small.png,2023-11-29 10:55:15
Android/安卓开发工程师,"2年,本科,java,c++,android,嵌入式开发,modbus协议,软硬件交互,软件设计方案,USB/串口通信,图形化,周末双休,五险一金,年终奖金,专业培训",广东省广州增城区,1.5-2.5万,2年,本科,https://jobs.51job.com/guangzhou-zcq/152234293.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,广东三恩时智能科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 04:00:18
Android/安卓开发工程师/APP开发工程师,"3-4年,大专,mysql,springcloud,设计模式,android,开发,五险,员工旅游,专业培训",内蒙古呼和浩特赛罕区,1-1.5万,3-4年,大专,https://jobs.51job.com/huhhot-shq/152161161.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,内蒙古维网科技有限责任公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_09_small.png,2023-11-29 14:32:18
Android framework 工程师,"2年,本科,计算机,java,电子,linux,c++,app开发,git代码管理,att,android系统,实验室认证,五险一金,绩效奖金,年终奖金,定期体检,专业培训",深圳深圳龙华区,1.8-2.8万,2年,本科,https://jobs.51job.com/shenzhen-lhq/152225581.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳市中诺通讯有限公司,国企,10000人以上,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-29 10:16:23
安卓(Android)开发工程师（MMI）,"2年,本科,android,安卓,开发工程师,MMI,五险一金,交通补贴,餐饮补贴,员工旅游,通讯补贴,绩效奖金,年终奖金,定期体检,专业培训,股票期权",上海上海闵行区浦江镇,1-2万,2年,本科,https://jobs.51job.com/shanghai-mhq/86884613.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海隽梦智能科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 13:01:59
Android Framework开发工程师,"2年,大专,java,c++,android,wms,系统框架,cts,framework,ams,vts,gms,周末双休,五险一金,专业培训,团建,试用期无折扣,绩效奖金",江苏省南京雨花台区,1.5-1.8万,2年,大专,https://jobs.51job.com/nanjing-yhtq/152221390.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,湖北赫兆科技有限公司,已上市,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-29 04:00:18
Android驱动开发工程师,"2年,本科,驱动,人脸,指纹,充电,BSP,五险一金,弹性工作,绩效奖金,定期体检",深圳深圳南山区,1.5-2.5万,2年,本科,https://jobs.51job.com/shenzhen-nsq/141459642.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,诚迈科技（南京）股份有限公司,外资（欧美）,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-29 04:00:49
Android开发工程师（汽车语音系统）,"3-4年,本科,汽车Android,Java,汽车语音产品,补充医疗保险,专业培训,年终奖金,定期体检,周末双休,法定节假日,节日福利,六险一金",上海上海嘉定区,2-2.4万·13薪,3-4年,本科,https://jobs.51job.com/shanghai-jdq/152250632.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,Alten China Limited,外资（欧美）,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/19/18188/18187629/58aae3b18f77288dc49ed0dc8f4d4103_small.jpg?1661474411,2023-11-29 04:00:18
Android开发工程师,"3-4年,大专,软件开发,安卓,wifi,蓝牙,android,camera,c++,安卓系统开发,五险一金,员工旅游,专业培训,餐饮补贴,年终奖金",深圳深圳宝安区西乡,1.9-3.5万,3-4年,大专,https://jobs.51job.com/shenzhen-baq/139390160.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳市天普瑞科技有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 04:00:33
Android开发工程师,"3-4年,大专,linux,Android,五险一金,绩效奖金,弹性工作,专业培训,年终奖金",上海上海,1-1.5万,3-4年,大专,https://jobs.51job.com/shanghai/143518635.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海奥意特信息科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_02_small.png,2023-11-29 04:00:49
Android开发工程师（杭州）,"5-7年,本科,餐饮补贴,年终奖金,定期体检,员工旅游,绩效奖金,五险一金,免费班车",浙江省杭州临平区,1.3-2.5万·14薪,5-7年,本科,https://jobs.51job.com/hangzhou-lpq/150236935.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,浙江健拓医疗仪器科技有限公司,民营,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_04_small.png,2023-11-29 04:00:18
Android开发工程师,"3-4年,大专,安卓,安卓开发,开发工程师,车载,高通,RK,Android,年终奖金,有薪年假,五险一金,员工旅游",深圳深圳宝安区,1-1.8万·13薪,3-4年,大专,https://jobs.51job.com/shenzhen-baq/138706693.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,深圳卓兴威科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 04:00:33
Android驱动工程师,"2年,本科,软件,android,五险一金,企业年金,误餐补助,职称津贴,带薪年假",深圳深圳,25-30万/年,2年,本科,https://jobs.51job.com/shenzhen/150842218.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,天地（常州）自动化股份有限公司,国企,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_004_small.png,2023-11-29 04:00:18
Android驱动工程师（安卓驱动）,"2年,本科,安卓,Android,驱动,软件,手机,高通,MTK,系统,工程师,智能,五险一金,交通补贴,餐饮补贴,员工旅游,通讯补贴,绩效奖金,年终奖金,定期体检,专业培训,股票期权",上海上海闵行区浦江镇,1.3-2.5万,2年,本科,https://jobs.51job.com/shanghai-mhq/85418665.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海隽梦智能科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 13:01:59
Android/安卓开发工程师,"3-4年,本科",江苏省常州,6千-1.2万,3-4年,本科,https://jobs.51job.com/changzhou/152050927.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,北京韵盈科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-27 04:14:15
Android系统Framework工程师,"2年,本科,java,c++,wms,pms,ams,系统源码,五险,节日福利,年终奖金",广东省广州番禺区,1.5-2.2万,2年,本科,https://jobs.51job.com/guangzhou-pyq/148704534.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,广州市定昌电子有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/5/4041/4040388/bb5e1c3d10b93b696cc9dcc7714be4de_small.gif?1621646349,2023-11-29 09:17:09
Android（安卓）/APP开发工程师,"2年,本科,五险一金,交通补贴,餐饮补贴,绩效奖金,年终奖金,通讯补贴",上海上海浦东新区,1-2万,2年,本科,https://jobs.51job.com/shanghai-pdxq/89021543.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海北辰软件股份有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:34:07
Android开发工程师,"3-4年,本科",上海上海浦东新区,1.2-2万,3-4年,本科,https://jobs.51job.com/shanghai-pdxq/151989379.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,上海匠心互娱网络科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_006_small.png,2023-11-24 04:18:02
Android,"3-4年,大专",江苏省南京江宁区,1-2万,3-4年,大专,https://jobs.51job.com/nanjing-jnq/152160182.html?s=sou_sou_soulb&t=0_0&req=034fb66545221a13ef22b46bb461d85c,北京爱可生信息技术股份有限公司,已上市,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-26 04:00:51
